,Hotel Name,Hotel Price,Hotel Bedrooms,Hotel Summery,Hotel Update Date
109, The Travellers RestCentre, From £43 /Night," House, Bedroom(s): 2, Sleeps: 4"," We have two bedrooms, one shower room with WC, kitchen/diner, small outdoor seating area, secure lockable barn suitable for motorcycles and bicycles, ample off road parking for cars", ID#: 1312 |  Last update: 20-Mar-2022
110, La GrangeBurgundy, From £475 /Week," Gite, Bedroom(s): 3, Sleeps: 9"," Situated in Burgundy, 20 minutes from Beaune, the wine capital of France, La Grange offers a gateway to regional wines and a superb selection of delicious food in local restaurants.", ID#: 1325 |  Last update: 29-Apr-2022
111, Riverside 4 bedroom house full of character and charmLanguedoc-Roussillon, From £117 /Night," House, Bedroom(s): 4, Sleeps: 8", Character house overlooking the Aude, ID#: 1319 |  Last update: 06-May-2022
112, L'imprevue - 3 bedroom townhouseBrittany, From £540 /Week," House, Bedroom(s): 3, Sleeps: 5"," Lovely, well equipped, comfortable, 3 bedroom townhouse, within walking distance from town.", ID#: 1310 |  Last update: 11-Mar-2022
113, Beautiful and secluded gite with private pool - CamelasLanguedoc-Roussillon, From £270 /Night," Gite, Bedroom(s): 4, Sleeps: 8", Magnificent setting on the edge of a hamlet with views over the hills. Private pool and only 10 mins from town with all facilities and 40 minutes to the Mediterranean coast., ID#: 1329 |  Last update: 14-May-2022
114, Gite Pola aka cottage Teoules-BasAquitaine, From £613 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," This beautiful gite offers comfortable accommodation of a high standard.
All facilities (Pool , sauna, hottub) are exclusive for the guest-couple.
Private parking", ID#: 1326 |  Last update: 02-May-2022
115, Renovated house with large gardens and poolLanguedoc-Roussillon, From £240 /Night," House, Bedroom(s): 4, Sleeps: 8"," Newly renovated to a very high standard this house has lots of history, 4 large bedrooms, enclosed gardens and private pool", ID#: 1317 |  Last update: 05-Apr-2022
116, La Petite MadeleineBrittany, From £476 /Week," House, Bedroom(s): 2, Sleeps: 4"," Nestled in a quiet backstreet, but just 100metres from the bustling port at Dinan, is La Petite Madeleine.
This quaint house, with many original features, sleeps four guests in two bedrooms", ID#: 1330 |  Last update: 19-May-2022
117, Lovely cottage in quiet location with poolLanguedoc-Roussillon, From £151 /Night," Cottage, Bedroom(s): 3, Sleeps: 6", Maison des Vignes is a peaceful cottage with everything you could need for a relaxing holiday., ID#: 1320 |  Last update: 22-Apr-2022
118, The Travellers RestCentre, From £43 /Night," House, Bedroom(s): 2, Sleeps: 4"," We have two bedrooms, one shower room with WC, kitchen/diner, small outdoor seating area, secure lockable barn suitable for motorcycles and bicycles, ample off road parking for cars", ID#: 1312 |  Last update: 20-Mar-2022
119, Peaceful 4 Bedroom House In Village 20 minutes from CoastLower-Normandy, From £750 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Large 4 bedroom family gite in picturesque village location which is peaceful but not isolated. The house is a short drive from a variety of coastal towns and convenient also for the Normandy beaches, ID#: 1311 |  Last update: 06-Jun-2022
120, Riverside 4 bedroom house full of character and charmLanguedoc-Roussillon, From £117 /Night," House, Bedroom(s): 4, Sleeps: 8", Character house overlooking the Aude, ID#: 1319 |  Last update: 06-May-2022
121, L'imprevue - 3 bedroom townhouseBrittany, From £540 /Week," House, Bedroom(s): 3, Sleeps: 5"," Lovely, well equipped, comfortable, 3 bedroom townhouse, within walking distance from town.", ID#: 1310 |  Last update: 11-Mar-2022
122, Beautiful and secluded gite with private pool - CamelasLanguedoc-Roussillon, From £270 /Night," Gite, Bedroom(s): 4, Sleeps: 8", Magnificent setting on the edge of a hamlet with views over the hills. Private pool and only 10 mins from town with all facilities and 40 minutes to the Mediterranean coast., ID#: 1329 |  Last update: 14-May-2022
123, Gite Pola aka cottage Teoules-BasAquitaine, From £613 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," This beautiful gite offers comfortable accommodation of a high standard.
All facilities (Pool , sauna, hottub) are exclusive for the guest-couple.
Private parking", ID#: 1326 |  Last update: 02-May-2022
124, Renovated house with large gardens and poolLanguedoc-Roussillon, From £240 /Night," House, Bedroom(s): 4, Sleeps: 8"," Newly renovated to a very high standard this house has lots of history, 4 large bedrooms, enclosed gardens and private pool", ID#: 1317 |  Last update: 05-Apr-2022
125, La Petite MadeleineBrittany, From £476 /Week," House, Bedroom(s): 2, Sleeps: 4"," Nestled in a quiet backstreet, but just 100metres from the bustling port at Dinan, is La Petite Madeleine.
This quaint house, with many original features, sleeps four guests in two bedrooms", ID#: 1330 |  Last update: 19-May-2022
126, Lovely cottage in quiet location with poolLanguedoc-Roussillon, From £151 /Night," Cottage, Bedroom(s): 3, Sleeps: 6", Maison des Vignes is a peaceful cottage with everything you could need for a relaxing holiday., ID#: 1320 |  Last update: 22-Apr-2022
127, The Travellers RestCentre, From £43 /Night," House, Bedroom(s): 2, Sleeps: 4"," We have two bedrooms, one shower room with WC, kitchen/diner, small outdoor seating area, secure lockable barn suitable for motorcycles and bicycles, ample off road parking for cars", ID#: 1312 |  Last update: 20-Mar-2022
128, Peaceful 4 Bedroom House In Village 20 minutes from CoastLower-Normandy, From £750 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Large 4 bedroom family gite in picturesque village location which is peaceful but not isolated. The house is a short drive from a variety of coastal towns and convenient also for the Normandy beaches, ID#: 1311 |  Last update: 06-Jun-2022
129, La BouscaudiereLower-Normandy, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," A purpose built bespoke Gite, designed with the holiday maker in mind with home comforts, garden and patio.", ID#: 1298 |  Last update: 23-Feb-2022
130, L'imprevue - 3 bedroom townhouseBrittany, From £540 /Week," House, Bedroom(s): 3, Sleeps: 5"," Lovely, well equipped, comfortable, 3 bedroom townhouse, within walking distance from town.", ID#: 1310 |  Last update: 11-Mar-2022
131, Beautiful and secluded gite with private pool - CamelasLanguedoc-Roussillon, From £270 /Night," Gite, Bedroom(s): 4, Sleeps: 8", Magnificent setting on the edge of a hamlet with views over the hills. Private pool and only 10 mins from town with all facilities and 40 minutes to the Mediterranean coast., ID#: 1329 |  Last update: 14-May-2022
132, Gite Pola aka cottage Teoules-BasAquitaine, From £613 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," This beautiful gite offers comfortable accommodation of a high standard.
All facilities (Pool , sauna, hottub) are exclusive for the guest-couple.
Private parking", ID#: 1326 |  Last update: 02-May-2022
133, Renovated house with large gardens and poolLanguedoc-Roussillon, From £240 /Night," House, Bedroom(s): 4, Sleeps: 8"," Newly renovated to a very high standard this house has lots of history, 4 large bedrooms, enclosed gardens and private pool", ID#: 1317 |  Last update: 05-Apr-2022
134, La Petite MadeleineBrittany, From £476 /Week," House, Bedroom(s): 2, Sleeps: 4"," Nestled in a quiet backstreet, but just 100metres from the bustling port at Dinan, is La Petite Madeleine.
This quaint house, with many original features, sleeps four guests in two bedrooms", ID#: 1330 |  Last update: 19-May-2022
135, Lovely cottage in quiet location with poolLanguedoc-Roussillon, From £151 /Night," Cottage, Bedroom(s): 3, Sleeps: 6", Maison des Vignes is a peaceful cottage with everything you could need for a relaxing holiday., ID#: 1320 |  Last update: 22-Apr-2022
136, The Travellers RestCentre, From £43 /Night," House, Bedroom(s): 2, Sleeps: 4"," We have two bedrooms, one shower room with WC, kitchen/diner, small outdoor seating area, secure lockable barn suitable for motorcycles and bicycles, ample off road parking for cars", ID#: 1312 |  Last update: 20-Mar-2022
137, Peaceful 4 Bedroom House In Village 20 minutes from CoastLower-Normandy, From £750 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Large 4 bedroom family gite in picturesque village location which is peaceful but not isolated. The house is a short drive from a variety of coastal towns and convenient also for the Normandy beaches, ID#: 1311 |  Last update: 06-Jun-2022
138, La BouscaudiereLower-Normandy, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," A purpose built bespoke Gite, designed with the holiday maker in mind with home comforts, garden and patio.", ID#: 1298 |  Last update: 23-Feb-2022
139, Traditional stone built property with private salt water poolMidi-Pyrenees, From £686 /Week," House, Bedroom(s): 3, Sleeps: 6", Ker Sud: a traditional stone built property with a lovely large salt water private pool. The property consists of a main house and an annex and is rented out as one (no other guests on the property)., ID#: 1313 |  Last update: 20-Mar-2022
140, Beautiful and secluded gite with private pool - CamelasLanguedoc-Roussillon, From £270 /Night," Gite, Bedroom(s): 4, Sleeps: 8", Magnificent setting on the edge of a hamlet with views over the hills. Private pool and only 10 mins from town with all facilities and 40 minutes to the Mediterranean coast., ID#: 1329 |  Last update: 14-May-2022
141, Gite Pola aka cottage Teoules-BasAquitaine, From £613 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," This beautiful gite offers comfortable accommodation of a high standard.
All facilities (Pool , sauna, hottub) are exclusive for the guest-couple.
Private parking", ID#: 1326 |  Last update: 02-May-2022
142, Renovated house with large gardens and poolLanguedoc-Roussillon, From £240 /Night," House, Bedroom(s): 4, Sleeps: 8"," Newly renovated to a very high standard this house has lots of history, 4 large bedrooms, enclosed gardens and private pool", ID#: 1317 |  Last update: 05-Apr-2022
143, La Petite MadeleineBrittany, From £476 /Week," House, Bedroom(s): 2, Sleeps: 4"," Nestled in a quiet backstreet, but just 100metres from the bustling port at Dinan, is La Petite Madeleine.
This quaint house, with many original features, sleeps four guests in two bedrooms", ID#: 1330 |  Last update: 19-May-2022
144, Lovely cottage in quiet location with poolLanguedoc-Roussillon, From £151 /Night," Cottage, Bedroom(s): 3, Sleeps: 6", Maison des Vignes is a peaceful cottage with everything you could need for a relaxing holiday., ID#: 1320 |  Last update: 22-Apr-2022
145, The Travellers RestCentre, From £43 /Night," House, Bedroom(s): 2, Sleeps: 4"," We have two bedrooms, one shower room with WC, kitchen/diner, small outdoor seating area, secure lockable barn suitable for motorcycles and bicycles, ample off road parking for cars", ID#: 1312 |  Last update: 20-Mar-2022
146, Peaceful 4 Bedroom House In Village 20 minutes from CoastLower-Normandy, From £750 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Large 4 bedroom family gite in picturesque village location which is peaceful but not isolated. The house is a short drive from a variety of coastal towns and convenient also for the Normandy beaches, ID#: 1311 |  Last update: 06-Jun-2022
147, La BouscaudiereLower-Normandy, From £475 /Week," Gite, Bedroom(s): 2, Sleeps: 4"," A purpose built bespoke Gite, designed with the holiday maker in mind with home comforts, garden and patio.", ID#: 1298 |  Last update: 23-Feb-2022
148, Traditional stone built property with private salt water poolMidi-Pyrenees, From £686 /Week," House, Bedroom(s): 3, Sleeps: 6", Ker Sud: a traditional stone built property with a lovely large salt water private pool. The property consists of a main house and an annex and is rented out as one (no other guests on the property)., ID#: 1313 |  Last update: 20-Mar-2022
149, La Ville Josse- Charming house in large grounds with a pond, From £124 /Night," House, Bedroom(s): 3, Sleeps: 6"," La Ville Josse is a charming, spacious three-bedroom house in the Brittany countryside, ideal for tranquillity and relaxation yet close enough to beautiful beaches and interesting places to visit.", ID#: 1290 |  Last update: 04-May-2022
150, Gite Pola aka cottage Teoules-BasAquitaine, From £613 /Week," Gite, Bedroom(s): 1, Sleeps: 2"," This beautiful gite offers comfortable accommodation of a high standard.
All facilities (Pool , sauna, hottub) are exclusive for the guest-couple.
Private parking", ID#: 1326 |  Last update: 02-May-2022
151, Renovated house with large gardens and poolLanguedoc-Roussillon, From £240 /Night," House, Bedroom(s): 4, Sleeps: 8"," Newly renovated to a very high standard this house has lots of history, 4 large bedrooms, enclosed gardens and private pool", ID#: 1317 |  Last update: 05-Apr-2022
152, La Petite MadeleineBrittany, From £476 /Week," House, Bedroom(s): 2, Sleeps: 4"," Nestled in a quiet backstreet, but just 100metres from the bustling port at Dinan, is La Petite Madeleine.
This quaint house, with many original features, sleeps four guests in two bedrooms", ID#: 1330 |  Last update: 19-May-2022
153, Lovely cottage in quiet location with poolLanguedoc-Roussillon, From £151 /Night," Cottage, Bedroom(s): 3, Sleeps: 6", Maison des Vignes is a peaceful cottage with everything you could need for a relaxing holiday., ID#: 1320 |  Last update: 22-Apr-2022
154, The Travellers RestCentre, From £43 /Night," House, Bedroom(s): 2, Sleeps: 4"," We have two bedrooms, one shower room with WC, kitchen/diner, small outdoor seating area, secure lockable barn suitable for motorcycles and bicycles, ample off road parking for cars", ID#: 1312 |  Last update: 20-Mar-2022
155, Peaceful 4 Bedroom House In Village 20 minutes from CoastLower-Normandy, From £750 /Week," Gite, Bedroom(s): 4, Sleeps: 8", Large 4 bedroom family gite in picturesque village location which is peaceful but not isolated. The house is a short drive from a variety of coastal towns and convenient also for the Normandy beaches, ID#: 1311 |  Last update: 06-Jun-2022
